frame,timestamp,object_id,class,keypoint_index,x,y,depth,confidence,spatial_spread,avg_distance,formation_area,symmetry_score,num_performers,distance,distance_to_com
0,1.0291111469268799,-100,center_of_mass,-1,699.822137620714,530.2922928421585,0.2793028322440084,1.0,245.48867376857535,585.057971485136,38786.64917038309,0.3344467888273509,4.0,,
0,1.0291111469268799,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1119.1736068548837,
0,1.0291111469268799,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,521.6005992416418,
0,1.0291111469268799,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,661.3972342031816,
0,1.0291111469268799,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,601.5025633248038,
0,1.0291111469268799,-200,performer_connection,-1,2.0,4.0,0.0,1.0,,,,,,466.59539555492864,
0,1.0291111469268799,-200,performer_connection,-1,3.0,4.0,0.0,1.0,,,,,,140.07842973137653,
1,1.2553553581237793,-100,center_of_mass,-1,700.4178014684607,530.3848419189453,0.2771241830065357,1.0,241.0192596500054,586.8406617487826,37879.77507261265,0.3264290786231304,4.0,,
1,1.2553553581237793,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1125.6329370312285,
1,1.2553553581237793,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,534.9207960062151,
1,1.2553553581237793,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,666.2149831896214,
1,1.2553553581237793,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,595.2216235334728,
1,1.2553553581237793,-200,performer_connection,-1,2.0,4.0,0.0,1.0,,,,,,467.69446813649733,
1,1.2553553581237793,-200,performer_connection,-1,3.0,4.0,0.0,1.0,,,,,,131.35916259566068,
2,1.4665069580078125,-100,center_of_mass,-1,700.8269859596535,530.067862616645,0.26804647785039915,1.0,237.7891938661497,582.4241019127952,37932.269117853095,0.3270261313518408,4.0,,
2,1.4665069580078125,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1117.1128414852483,
2,1.4665069580078125,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,530.3716393041502,
2,1.4665069580078125,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,660.4257318457655,
2,1.4665069580078125,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,591.33432655403,
2,1.4665069580078125,-200,performer_connection,-1,2.0,4.0,0.0,1.0,,,,,,465.17204162829876,
2,1.4665069580078125,-200,performer_connection,-1,3.0,4.0,0.0,1.0,,,,,,130.1280306592778,
3,1.677518367767334,-100,center_of_mass,-1,702.5134198224104,530.5032286467375,0.27472766884531563,1.0,235.36990788997792,579.0067341357327,30511.73306701262,0.32809594290837424,4.0,,
3,1.677518367767334,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1110.5566599192784,
3,1.677518367767334,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,523.6350449760465,
3,1.677518367767334,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,657.8925446083963,
3,1.677518367767334,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,588.8913953330647,
3,1.677518367767334,-200,performer_connection,-1,2.0,4.0,0.0,1.0,,,,,,458.26912910909107,
3,1.677518367767334,-200,performer_connection,-1,3.0,4.0,0.0,1.0,,,,,,134.7956308685191,
4,1.889460563659668,-100,center_of_mass,-1,706.209720187717,531.103040907118,0.26978939724037737,1.0,236.53956990321606,574.0537713669776,25505.990596387957,0.3328368559036438,4.0,,
4,1.889460563659668,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1102.1696942189567,
4,1.889460563659668,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,522.6160168411395,
4,1.889460563659668,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,654.6061211120114,
4,1.889460563659668,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,580.7283898994349,
4,1.889460563659668,-200,performer_connection,-1,2.0,4.0,0.0,1.0,,,,,,451.57998790147343,
4,1.889460563659668,-200,performer_connection,-1,3.0,4.0,0.0,1.0,,,,,,132.62241822884988,
5,2.111072540283203,-100,center_of_mass,-1,763.2860848563058,544.9178365071615,0.2883286647992528,1.0,215.72249254007656,518.8416490291199,40848.15188504896,0.5008767971550602,5.0,,
5,2.111072540283203,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1094.5490168479832,
5,2.111072540283203,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,523.6294971984041,
5,2.111072540283203,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,653.6547825440422,
5,2.111072540283203,-200,performer_connection,-1,1.0,5.0,0.0,1.0,,,,,,265.70926192321565,
5,2.111072540283203,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,571.8918818760128,
5,2.111072540283203,-200,performer_connection,-1,2.0,4.0,0.0,1.0,,,,,,445.0851996805067,
5,2.111072540283203,-200,performer_connection,-1,2.0,5.0,0.0,1.0,,,,,,839.4010416201218,
5,2.111072540283203,-200,performer_connection,-1,3.0,4.0,0.0,1.0,,,,,,131.0546060326064,
5,2.111072540283203,-200,performer_connection,-1,3.0,5.0,0.0,1.0,,,,,,268.73991542931077,
5,2.111072540283203,-200,performer_connection,-1,4.0,5.0,0.0,1.0,,,,,,394.7012871389953,
6,2.325223445892334,-100,center_of_mass,-1,765.0873110332186,541.8963516477554,0.28141923436041055,1.0,211.85989685829617,529.099511561205,54266.28525571734,0.4828172186665219,5.0,,
6,2.325223445892334,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1116.089751056684,
