frame,timestamp,object_id,class,keypoint_index,x,y,depth,confidence,spatial_spread,avg_distance,formation_area,symmetry_score,num_performers,distance,distance_to_com
0,0.732168436050415,-100,center_of_mass,-1,886.7001679519127,743.3042865621633,0.22150101419878315,1.0,223.30068328844885,916.0318974526317,43844.93983495605,0.2884301881812496,3.0,,
0,0.732168436050415,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1371.0694404123103,
0,0.732168436050415,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,674.1867801143603,
0,0.732168436050415,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,702.8394718312247,
1,0.8720355033874512,-100,center_of_mass,-1,900.846132005964,738.7735530308315,0.21778711484593852,1.0,227.3536926829986,914.6763086702116,44667.661500742324,0.321209597308644,3.0,,
1,0.8720355033874512,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1368.9089343994308,
1,0.8720355033874512,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,673.258472990342,
1,0.8720355033874512,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,701.8615186208616,
2,1.0014805793762207,-100,center_of_mass,-1,874.0433833681304,734.7605874949488,0.23326572008113608,1.0,226.54199526940627,931.1127830108741,49903.145374632455,0.29321636232401344,3.0,,
2,1.0014805793762207,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1392.9893332475056,
2,1.0014805793762207,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,676.8409827659352,
2,1.0014805793762207,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,723.5080330191811,
3,1.1322054862976074,-100,center_of_mass,-1,870.6764821019666,730.2258842731344,0.23637592968221788,1.0,225.55536500075164,934.2739139860155,56898.7989882133,0.3065365304515683,3.0,,
3,1.1322054862976074,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1396.6647948210968,
3,1.1322054862976074,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,672.9841122137991,
3,1.1322054862976074,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,733.1728349231504,
4,1.2608883380889893,-100,center_of_mass,-1,876.3779302324567,732.1233335222516,0.2407563025210086,1.0,234.06942497941844,948.179319234703,69072.3132772073,0.35158665487636265,3.0,,
4,1.2608883380889893,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1415.5475347786783,
4,1.2608883380889893,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,671.3427909484673,
4,1.2608883380889893,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,757.6476319769637,
5,1.3874621391296387,-100,center_of_mass,-1,863.1892005657328,719.6466248610924,0.24164976335361749,1.0,227.80752931040445,958.1580326054082,77375.2258161995,0.3414613000456123,3.0,,
5,1.3874621391296387,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1429.0365355176511,
5,1.3874621391296387,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,672.0792756752697,
5,1.3874621391296387,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,773.3582866233035,
6,1.5105628967285156,-100,center_of_mass,-1,864.5333788641568,726.3547442206021,0.24949290060851942,1.0,230.6791641538226,954.0904576933357,75234.32136325397,0.3359109513510848,3.0,,
6,1.5105628967285156,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1423.290709239844,
6,1.5105628967285156,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,671.7208820759967,
6,1.5105628967285156,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,767.2597817641661,
7,1.6306750774383545,-100,center_of_mass,-1,864.9227515911234,720.2599902975148,0.2803245436105478,1.0,233.0879871902668,951.3445184671651,67363.65631765577,0.335464113328307,3.0,,
