frame,timestamp,object_id,class,keypoint_index,x,y,depth,confidence,spatial_spread,avg_distance,formation_area,symmetry_score,num_performers,distance,distance_to_com
0,1.1475255489349365,-100,center_of_mass,-1,884.1836252212524,584.4694199562073,0.1314338235294118,1.0,63.851875835836054,376.4045995960352,11056.311778705498,0.5459540807409542,5.0,,
0,1.1475255489349365,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,853.4045882773141,
0,1.1475255489349365,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,534.3202096319098,
0,1.1475255489349365,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,705.9491384160568,
0,1.1475255489349365,-200,performer_connection,-1,1.0,5.0,0.0,1.0,,,,,,624.4237855587737,
0,1.1475255489349365,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,320.2515473172995,
0,1.1475255489349365,-200,performer_connection,-1,2.0,4.0,0.0,1.0,,,,,,147.4562059771986,
0,1.1475255489349365,-200,performer_connection,-1,2.0,5.0,0.0,1.0,,,,,,229.03615313007006,
0,1.1475255489349365,-200,performer_connection,-1,3.0,4.0,0.0,1.0,,,,,,173.3669758197504,
0,1.1475255489349365,-200,performer_connection,-1,3.0,5.0,0.0,1.0,,,,,,94.16121962453511,
0,1.1475255489349365,-200,performer_connection,-1,4.0,5.0,0.0,1.0,,,,,,81.67617220744431,
1,1.3592333793640137,-100,center_of_mass,-1,913.5663042210821,567.7924465350251,0.134328358208955,1.0,147.2052542887551,488.6734911825515,62048.06424322507,0.4466763414020275,5.0,,
1,1.3592333793640137,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1122.4933526251832,
1,1.3592333793640137,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,840.0561370715566,
1,1.3592333793640137,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,992.6871971550322,
1,1.3592333793640137,-200,performer_connection,-1,1.0,5.0,0.0,1.0,,,,,,913.4146826819247,
1,1.3592333793640137,-200,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,310.1186797050949,
1,1.3592333793640137,-200,performer_connection,-1,2.0,4.0,0.0,1.0,,,,,,135.43192095720954,
1,1.3592333793640137,-200,performer_connection,-1,2.0,5.0,0.0,1.0,,,,,,217.60993210719477,
